Catalog Number	Genome Tax ID	Assembly_URL	Illumina_R1_URL	Illumina_R2_URL	ONT_URL	
BAA-1870	1496	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-1870.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK27_BAA-1870D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK27_BAA-1870D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021DD07_BAA-1870D-5.fastq.gz	
BAA-1690	1280	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-1690.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK01_BAA-1690_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK01_BAA-1690_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CP03_BAA-1690.fastq.gz	
BAA-1382	1496	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-1382.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK12_BAA-1382D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK12_BAA-1382D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021DA01_BAA-1382D-5.fastq.gz	
BAA-1334	456320	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-1334.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK11_BAA-1334D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK11_BAA-1334D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CZ07_BAA-1334D-5.fastq.gz	
BAA-1333	402880	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-1333.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK10_BAA-1333D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK10_BAA-1333D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CZ06_BAA-1333D-5.fastq.gz	
700874	485914	https:/atccbioinformatics.blob.core.windows.net/publicdata/700874.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK24_700874D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK24_700874D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021DD04_700874D-5.fastq.gz	
700860	53953	https:/atccbioinformatics.blob.core.windows.net/publicdata/700860.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK23_700860D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK23_700860D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021DD03_700860D-5.fastq.gz	
700654	71997	https:/atccbioinformatics.blob.core.windows.net/publicdata/700654.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK22_700654D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK22_700654D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021DD02_700654D-5.fastq.gz	
700529	1151117	https:/atccbioinformatics.blob.core.windows.net/publicdata/700529.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK21_700529D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK21_700529D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021DD01_700529D-5.fastq.gz	
51530	273116	https:/atccbioinformatics.blob.core.windows.net/publicdata/51530.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK20_51530D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK20_51530D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021DA07_51530D-5.fastq.gz	
43589	243274	https:/atccbioinformatics.blob.core.windows.net/publicdata/43589.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK18_43589D-2_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK18_43589D-2_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021DA05_43589D-2.fastq.gz	
43587	186497	https:/atccbioinformatics.blob.core.windows.net/publicdata/43587.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK17_43587D-2_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK17_43587D-2_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021DA04_43587D-2.fastq.gz	
43576	410358	https:/atccbioinformatics.blob.core.windows.net/publicdata/43576.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK16_43576D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK16_43576D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021DA03_43576D-5.fastq.gz	
35678	2257	https:/atccbioinformatics.blob.core.windows.net/publicdata/35678.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK45_35678D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK45_35678D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021DF06_35678D-5.fastq.gz	
700910	743525	https:/atccbioinformatics.blob.core.windows.net/publicdata/700910.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AF12_700910_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AF12_700910_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021BV07_700910.fastq.gz	
BAA-1763	1280	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-1763.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AF14_BAA-1763_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AF14_BAA-1763_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021BV08_BAA-1763.fastq.gz	
BAA-1766	1280	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-1766.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AF24_BAA-1766_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AF24_BAA-1766_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021BP08_BAA-1766.fastq.gz	
BAA-40	1280	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-40.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AH30_BAA-40_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AH30_BAA-40_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021BP07_BAA-40.fastq.gz	
BAA-204	562	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-204.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI01_BAA-204_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI01_BAA-204_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021BR01_BAA-204.fastq.gz	
BAA-1764	1280	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-1764.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI04_BAA-1764_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI04_BAA-1764_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021BR04_BAA-1764.fastq.gz	
700788	1280	https:/atccbioinformatics.blob.core.windows.net/publicdata/700788.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI05_700788_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI05_700788_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021BR05_700788.fastq.gz	
49532	1351	https:/atccbioinformatics.blob.core.windows.net/publicdata/49532.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI06_49532_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI06_49532_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021BR06_49532.fastq.gz	
49399	1314	https:/atccbioinformatics.blob.core.windows.net/publicdata/49399.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ19_49399_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ19_49399_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CV02_49399.fastq.gz	
BAA-2525	587	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-2525.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ22_BAA-2525_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ22_BAA-2525_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CW04_BAA-2525.fastq.gz	
8400	59201	https:/atccbioinformatics.blob.core.windows.net/publicdata/8400.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ24_8400_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ24_8400_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CX02_8400.fastq.gz	
49979	562	https:/atccbioinformatics.blob.core.windows.net/publicdata/49979.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ25_49979_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ25_49979_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CX03_49979.fastq.gz	
33658	29491	https:/atccbioinformatics.blob.core.windows.net/publicdata/33658.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ26_33658_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ26_33658_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CX04_33658.fastq.gz	
12916	1502	https:/atccbioinformatics.blob.core.windows.net/publicdata/12916.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ32_12916_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ32_12916_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CW02_12916.fastq.gz	
29897	253	https:/atccbioinformatics.blob.core.windows.net/publicdata/29897.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ33_29897_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ33_29897_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CW03_29897.fastq.gz	
BAA-163	274	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-163.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ35_BAA-163D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ35_BAA-163D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CZ02_BAA-163D-5.fastq.gz	
BAA-1752	1280	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-1752.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ40_BAA-1752_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ40_BAA-1752_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CB01_BAA-1752.fastq.gz	
29971	1288	https:/atccbioinformatics.blob.core.windows.net/publicdata/29971.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ42_29971_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ42_29971_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CB05_29971.fastq.gz	
14756	615	https:/atccbioinformatics.blob.core.windows.net/publicdata/14756.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ43_14756_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ43_14756_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CC01_14756.fastq.gz	
19986	1409	https:/atccbioinformatics.blob.core.windows.net/publicdata/19986.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ47_19986_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ47_19986_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CC04_19986.fastq.gz	
BAA-1176	1311	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-1176.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI48_BAA-1176_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI48_BAA-1176_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CS03_BAA-1176.fastq.gz	
BAA-710	59201	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-710.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI46_BAA-710_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI46_BAA-710_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CS01_BAA-710.fastq.gz	
49446	1311	https:/atccbioinformatics.blob.core.windows.net/publicdata/49446.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI44_49446_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI44_49446_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CR06_49446.fastq.gz	
33291	32022	https:/atccbioinformatics.blob.core.windows.net/publicdata/33291.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI43_33291_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI43_33291_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CR05_33291.fastq.gz	
12203	1314	https:/atccbioinformatics.blob.core.windows.net/publicdata/12203.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI40_12203_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI40_12203_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CR01_12203.fastq.gz	
BAA-42	46170	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-42.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI39_BAA-42_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI39_BAA-42_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CQ05_BAA-42.fastq.gz	
12473	29581	https:/atccbioinformatics.blob.core.windows.net/publicdata/12473.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI38_12473_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI38_12473_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CQ03_12473.fastq.gz	
6960	59201	https:/atccbioinformatics.blob.core.windows.net/publicdata/6960.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI37_6960_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI37_6960_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CQ02_6960.fastq.gz	
43042	43771	https:/atccbioinformatics.blob.core.windows.net/publicdata/43042.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI36_43042_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI36_43042_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CQ01_43042.fastq.gz	
9345	28264	https:/atccbioinformatics.blob.core.windows.net/publicdata/9345.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI30_9345_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI30_9345_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CP06_9345.fastq.gz	
19438	32020	https:/atccbioinformatics.blob.core.windows.net/publicdata/19438.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI29_19438_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI29_19438_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CP05_19438.fastq.gz	
43044	43771	https:/atccbioinformatics.blob.core.windows.net/publicdata/43044.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI24_43044_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI24_43044_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CI_Regular06_43044.fastq.gz	
29741	818	https:/atccbioinformatics.blob.core.windows.net/publicdata/29741.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI23_29741_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI23_29741_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CI_Regular05_29741.fastq.gz	
10798	562	https:/atccbioinformatics.blob.core.windows.net/publicdata/10798.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI21_10798_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI21_10798_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CI_Regular03_10798.fastq.gz	
27957	99822	https:/atccbioinformatics.blob.core.windows.net/publicdata/27957.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI20_27957_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI20_27957_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CI_Regular02_27957.fastq.gz	
29743	1258	https:/atccbioinformatics.blob.core.windows.net/publicdata/29743.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI19_29743_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI19_29743_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CI_Regular01_29743.fastq.gz	
